;CUADRO 1.4.1;;;;;;Índice
;Estimador Mensual de Actividad Económica;;;;;;
;Números Indice (Base 2004 = 100) y variaciones porcentuales;;;;;;
;Series;Anual;Trimestral;Mensual;;;
PERIODO ;Indice Serie Original            2004 = 100;Var % respecto de igual período del año anterior ;Indice Serie Desestacio-nalizada (s.e.)         2004 = 100;Var % respecto del período anterior de la serie s.e.;Indice Serie Tendencia-Ciclo (t-c)   2004 = 100;Var % respecto del período anterior de la t-c;
143.1_NO_PR_2004_A_13;143.1_NO_PR_2004_A_21;143.1_ICE_SERVIA_2004_A_25;143.1_NO_PR_2004_A_31;143.1_ICE_SER_VM_2004_A_34;143.1_NO_PR_2004_A_28;143.1_ICE_SER_VM_2004_A_31;
2004;100.0;-;100.0;-;100.0;-;
2005;108.9;8.9%;108.9;8.9%;108.5;8.5%;
2006;117.6;8.0%;117.6;8.0%;117.4;8.1%;
2007;128.2;9.0%;128.2;9.0%;128.2;9.2%;
2008;133.4;4.1%;133.4;4.1%;132.4;3.3%;
2009;125.5;-5.9%;125.5;-5.9%;126.0;-4.8%;
2010;138.2;10.1%;138.2;10.1%;137.8;9.4%;
2011;146.5;6.0%;146.5;6.0%;145.7;5.7%;
2012;145.0;-1.0%;145.0;-1.0%;145.0;-0.4%;
2013;148.5;2.4%;148.5;2.4%;148.1;2.1%;
2014;144.8;-2.5%;144.8;-2.5%;144.8;-2.2%;
2015;148.7;2.7%;148.7;2.7%;148.0;2.2%;
2016;145.6;-2.1%;145.6;-2.1%;145.4;-1.7%;
2017;149.7;2.8%;149.7;2.8%;149.2;2.6%;
2018;145.8;-2.6%;145.8;-2.6%;145.8;-2.3%;
2019;142.9;-2.0%;142.9;-2.0%;142.3;-2.4%;
2020;128.8;-9.9%;128.8;-9.9%;137.2;-3.6%;
2021;142.2;10.4%;142.2;10.4%;142.0;3.5%;
2022;149.7;5.3%;149.7;5.3%;149.5;5.2%;
2023;147.3;-1.6%;147.3;-1.6%;146.6;-1.9%;
;;;;;;;
;;;;;;;
;;;;;;;
143.2_NO_PR_2004_A_13;143.2_NO_PR_2004_A_21;143.2_ICE_SERVIA_2004_A_25;143.2_NO_PR_2004_A_31;143.2_ICE_SER_VM_2004_A_34;143.2_NO_PR_2004_A_28;143.2_ICE_SER_VM_2004_A_31;
I 04;94.9;-;98.1;-;96.7;-;
II;106.0;-;96.9;-1.2%;98.7;2.1%;
III;99.2;-;101.8;5.0%;101.1;2.3%;
IV;99.9;-;103.2;1.4%;103.5;2.4%;
I 05;101.7;7.2%;106.2;2.9%;105.8;2.2%;
II;119.9;13.1%;108.6;2.3%;107.7;1.8%;
III;106.1;7.0%;109.3;0.6%;109.4;1.6%;
IV;107.7;7.8%;111.4;1.9%;111.3;1.7%;
I 06;109.7;7.8%;114.3;2.6%;113.5;2.0%;
II;126.6;5.6%;115.7;1.2%;116.0;2.2%;
III;116.1;9.4%;118.9;2.8%;118.6;2.3%;
IV;118.1;9.7%;121.5;2.2%;121.3;2.3%;
I 07;118.9;8.4%;124.4;2.4%;124.1;2.3%;
II;139.1;9.9%;127.0;2.1%;126.9;2.2%;
III;125.8;8.4%;128.7;1.4%;129.6;2.1%;
IV;129.0;9.3%;132.7;3.1%;132.1;1.9%;
I 08;127.1;6.9%;134.1;1.0%;133.9;1.4%;
II;146.6;5.5%;134.6;0.4%;134.2;0.2%;
III;133.4;6.0%;135.6;0.8%;132.4;-1.3%;
IV;126.5;-2.0%;129.4;-4.6%;129.0;-2.6%;
I 09;119.3;-6.2%;124.7;-3.6%;125.5;-2.7%;
II;130.1;-11.3%;121.7;-2.5%;124.1;-1.1%;
III;125.9;-5.7%;126.6;4.1%;125.5;1.1%;
IV;126.8;0.3%;129.1;2.0%;128.8;2.7%;
I 10;126.1;5.7%;133.1;3.1%;132.9;3.2%;
II;151.2;16.2%;138.9;4.3%;136.7;2.8%;
III;137.8;9.5%;139.6;0.6%;139.6;2.2%;
IV;137.7;8.6%;141.3;1.2%;142.0;1.7%;
I 11;136.5;8.3%;144.6;2.4%;144.0;1.4%;
II;158.0;4.4%;146.4;1.2%;145.8;1.2%;
III;146.6;6.4%;147.6;0.8%;146.7;0.6%;
IV;144.9;5.2%;147.4;-0.1%;146.2;-0.3%;
I 12;138.7;1.6%;146.0;-1.0%;144.9;-0.9%;
II;150.7;-4.6%;141.0;-3.4%;144.2;-0.5%;
III;145.0;-1.1%;145.4;3.1%;144.7;0.4%;
IV;145.7;0.6%;147.7;1.6%;146.2;1.0%;
I 13;139.6;0.7%;147.6;-0.1%;147.7;1.0%;
II;160.1;6.2%;148.6;0.7%;148.6;0.6%;
III;148.7;2.6%;149.5;0.6%;148.5;-0.1%;
IV;145.7;-0.1%;148.2;-0.9%;147.5;-0.7%;
I 14;138.3;-0.9%;146.0;-1.5%;145.9;-1.1%;
II;156.8;-2.0%;145.0;-0.7%;144.5;-1.0%;
III;142.4;-4.2%;143.7;-0.9%;144.0;-0.4%;
IV;141.6;-2.8%;144.4;0.5%;144.8;0.6%;
I 15;138.7;0.3%;146.5;1.4%;146.6;1.3%;
II;163.1;4.0%;150.3;2.6%;148.4;1.2%;
III;148.1;4.0%;149.9;-0.2%;149.0;0.4%;
IV;145.1;2.5%;148.2;-1.2%;148.1;-0.6%;
I 16;139.7;0.7%;147.1;-0.7%;146.5;-1.1%;
II;156.8;-3.9%;144.5;-1.7%;145.1;-1.0%;
III;143.1;-3.3%;145.0;0.3%;144.7;-0.3%;
IV;142.9;-1.5%;145.9;0.7%;145.4;0.5%;
I 17;140.5;0.6%;147.3;0.9%;147.0;1.1%;
II;160.5;2.3%;148.7;0.9%;148.9;1.3%;
III;148.6;3.9%;150.7;1.4%;150.4;1.0%;
IV;149.4;4.5%;152.2;1.0%;150.7;0.2%;
I 18;145.8;3.8%;151.3;-0.6%;149.2;-1.0%;
II;154.1;-4.0%;144.9;-4.2%;146.7;-1.7%;
III;143.5;-3.5%;144.7;-0.2%;144.2;-1.7%;
IV;139.9;-6.3%;142.4;-1.5%;142.9;-0.9%;
I 19;137.3;-5.9%;142.7;0.2%;142.7;-0.1%;
II;155.0;0.6%;143.5;0.5%;142.9;0.1%;
III;141.0;-1.8%;143.7;0.1%;142.5;-0.3%;
IV;138.4;-1.1%;141.7;-1.4%;141.0;-1.0%;
I 20;130.4;-5.0%;134.9;-4.8%;138.9;-1.5%;
II;125.6;-18.9%;116.1;-13.9%;137.0;-1.3%;
III;126.6;-10.2%;128.8;10.9%;136.2;-0.6%;
IV;132.4;-4.3%;135.1;4.9%;136.7;0.4%;
I 21;134.6;3.2%;139.0;2.8%;138.3;1.1%;
II;149.1;18.7%;140.1;0.8%;140.5;1.6%;
III;141.6;11.8%;143.2;2.2%;143.2;1.9%;
IV;143.5;8.4%;146.5;2.3%;146.2;2.1%;
